active,calibration_rounds,candidate_opportunities,condition,deep_faces_global,faces,gate_admissions,gate_deep_window,gate_window,global_spatial_rms_centi,lindsey_fallbacks,lindsey_statuses,lindsey_valid_rounds,max_rounds,methods,mode,parent_scale,round_admitted_prefix,runtime,seed,stages,vertices,window_deep_faces,window_faces,window_nonquad_rms_centi
81,6,759,flat_p78_corr05,0,128,0,0,0,8.855539970446118,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.04,0,3,289,0,6,3.3498702999308048
351,6,766,flat_p50_clean,576,655,224,0,17,0.18531640936974783,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,225,1.95,0,3,1356,43,43,0.07088695274196598
81,6,774,flat_p78_gauss_equaln,0,128,0,0,0,1.794872804669537,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.68,0,3,289,0,6,0.5476958878511929
81,6,759,flat_p78_heavytail,0,128,0,0,0,7.802379914737215,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.06,3,3,289,0,6,2.4684107205922103
95,6,660,flat_p78_clean,24,155,4,0,0,0.2897907077762502,3,"{""nonconverged"": 3, ""valid"": 3}",3,3,"{""BH-fallback"": 3, ""lindsey"": 3}",baseline_k4,0.25,6,1.64,4,3,344,0,6,0.08451131652123872
81,6,759,flat_p78_heavytail,0,128,0,0,0,8.399067263180907,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.08,4,3,289,0,6,6.265201118496188
81,6,756,flat_p97_clean,0,128,0,0,0,0.8464323838350626,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.11,2,3,289,0,6,0.28411363161197056
81,6,759,flat_p78_corr01,0,128,0,0,0,8.717603764086846,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.29,0,3,289,0,6,3.1948119236374986
81,6,756,flat_p78_clean,0,128,0,0,0,0.3764348468462154,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh_k05,0.25,0,2.57,2,3,289,0,6,0.27232880653014907
113,6,645,flat_p78_corr05,58,191,11,0,0,7.772298765399009,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,12,2.19,2,3,416,2,9,2.629559766909498
