mode,label,seed,total_admissions,window_admissions,deep_window_admissions,deep_window_faces,window_nonquadratic_rms_centi_logodds,outside_centered_rmse_centi_logodds,outside_weighted_correlation,outside_weighted_slope,final_faces,runtime_seconds
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",1,2,0,0,0,3.027341458740141,12.727703947831792,0.993721907330112,0.9337946756555814,133,13.71
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",2,9,0,0,0,2.9734230279455964,13.873176529434877,0.9916764848550463,0.9402984334075476,223,16.58
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",3,15,0,0,0,2.047061416907964,12.507867204729797,0.993553054391983,0.941769984311231,262,13.51
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",4,4,0,0,0,4.500266937864328,13.84408820532224,0.9925025925517091,0.9277100837881986,150,13.37
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",5,13,0,0,0,4.291166476919136,12.150502625895994,0.993225935227008,0.958894229806589,175,11.07
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",6,2,0,0,0,3.3468606252734756,17.5512954713946,0.9868076767940509,0.9152684627272037,133,11.02
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",7,3,0,0,0,3.0718036955861523,15.385069331344965,0.9890541797955016,0.9508196938187015,139,9.15
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",8,13,0,0,0,3.128901432944253,12.321287066607507,0.9934551725026092,0.9476430062185465,257,16.96
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",9,8,0,0,0,3.9463797717794122,15.501548129849036,0.9886408843871154,0.9505170183436649,171,13.98
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",10,2,0,0,0,2.3478138288061645,10.910913259822834,0.9945050064964578,0.9660350422183462,139,7.46
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",11,1,0,0,0,3.750130353738977,13.344474119534015,0.9920267106452599,0.9481031753978992,131,11.83
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",12,6,0,0,0,1.8969558864749894,13.699886140944013,0.9913257124666808,0.953132140627017,174,9.17
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",13,27,0,0,0,2.4757388398865654,13.302893266066917,0.9932459766604236,0.9276401878927714,301,11.04
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",14,22,0,0,0,1.5870706653330473,15.065080771104714,0.9907194842766799,0.9245711833213718,263,7.79
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",15,1,0,0,0,4.35754002429884,13.936905225007756,0.9916456854633062,0.9385223748602178,131,8.73
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",16,7,0,0,0,3.059739827206392,16.350598250011966,0.9903358680016234,0.9020956352218953,173,12.03
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",17,3,0,0,0,3.946087210297986,12.866502260031082,0.9929297359420012,0.9426666794917146,139,6.32
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",18,13,0,0,0,4.6306397977516,15.793821700576899,0.9899201899426935,0.9202235582910832,210,7.48
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",19,3,0,0,0,4.677016967273731,16.426152591745854,0.9882604174746706,0.9274825807905871,152,6.4
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",0,1,0,0,0,4.325987840266417,14.80396029200806,0.9899667481714826,0.9463759481329451,131,4.87
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",1,9,0,0,0,3.0252236460485147,11.738353687448068,0.994795633413259,0.9370097463949882,163,4.82
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",2,17,0,0,0,2.9895980871412324,13.514555715987001,0.9920555267250465,0.9426586076144021,260,7.05
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",3,24,0,0,0,2.0471972885842167,12.028166644089643,0.9940258046124845,0.9442223314080374,275,6.85
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",4,18,0,0,0,4.513203542366831,13.800711246636066,0.9924453280574803,0.9290748108470832,233,5.06
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",5,29,1,0,20,5.074985175794769,12.53889736053732,0.9927564533693065,0.9581940336901327,288,17.91
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",6,5,0,0,0,3.3467703496399404,17.610503080954118,0.9867101561181026,0.9150336298878239,153,7.11
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",7,19,0,0,0,3.1347912087258436,14.902960810310386,0.9896546037253149,0.9541552849087451,252,15.91
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",8,23,1,0,11,5.195720643441775,12.876968958944145,0.9927545458394293,0.9468885036928246,330,9.68
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",9,12,0,0,0,3.959004387044034,15.561910280281296,0.9885344809685643,0.9506815117941108,220,11.14
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",10,8,0,0,0,2.3487072140319945,9.888634079654086,0.9955036983459739,0.9688468298100319,180,24.15
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",11,6,0,0,0,3.7502289085917617,12.501780075674914,0.9930294142825401,0.9509802176976497,158,11.04
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",12,36,2,0,25,7.5659976127672435,14.761664561350829,0.9896823443174131,0.9554162205683917,365,15.94
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",13,29,0,0,0,2.475854673178598,13.276423571619228,0.9932768154632233,0.9277407486516146,324,11.6
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",14,28,0,0,0,1.590713633887058,15.394404560046448,0.9902106661814621,0.9240272376674049,317,17.15
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",15,1,0,0,0,4.35754002429884,13.936905225007756,0.9916456854633062,0.9385223748602178,131,4.03
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",16,10,1,0,8,5.163742198039741,16.449784168291373,0.990184302523414,0.9017304187442591,193,5.47
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",17,6,0,0,0,3.9356628844355592,12.837264888094483,0.9929806614551485,0.9425066412565724,168,6.48
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",18,19,0,0,2,4.840623900486586,15.14662505884033,0.9907729757817874,0.9231319091455514,240,5.6
perm_bh_k4_q20,"Permutation BH, K_eff≥4, q=.20",19,29,0,0,0,4.599478532403076,16.515193085550493,0.9879095097964646,0.9300635992724149,341,4.78
