gx,gy,wala,wac,g_hat,f_true
0.025,0.7083333333,1.5,6.141666667,-65.12460008,-16.23718473
0.025,0.725,1.5,6.225,-29.3819861,-27.64403442
0.025,0.7416666667,1.5,6.308333333,17.60126959,-37.02167993
0.025,0.7583333333,1.5,6.391666667,66.72025893,-43.13575493
0.025,0.775,1.5,6.475,108.6911458,-45.66873876
0.025,0.7916666667,1.5,6.558333333,150.0275364,-44.7879691
0.025,0.8083333333,1.5,6.641666667,225.4530479,-40.78159498
0.025,0.825,1.5,6.725,219.313595,-33.84154112
0.025,0.8416666667,1.5,6.808333333,185.9858206,-23.97344372
0.025,0.8583333333,1.5,6.891666667,175.8264205,-11.00380092
0.025,0.875,1.5,6.975,188.8353945,5.31279695
0.025,0.8916666667,1.5,7.058333333,212.7396887,25.05416107
0.025,0.9083333333,1.5,7.141666667,206.7718326,47.74698928
0.025,0.925,1.5,7.225,170.9318265,71.94233008
0.025,0.9416666667,1.5,7.308333333,135.0918203,95.03978884
0.025,0.9583333333,1.5,7.391666667,99.25181408,113.7281353
0.025,0.975,1.5,7.475,63.4118079,125.1200473
0.025,0.9916666667,1.5,7.558333333,43.74701945,128.0463734
0.04166666667,0.008333333333,2.5,2.641666667,-393.7456405,-19.23107012
0.04166666667,0.025,2.5,2.725,-381.9320664,-16.99360828
0.04166666667,0.04166666667,2.5,2.808333333,-370.1184923,-22.80819174
0.04166666667,0.05833333333,2.5,2.891666667,-417.7724698,-35.78810116
0.04166666667,0.075,2.5,2.975,-465.4264473,-53.22492352
0.04166666667,0.09166666667,2.5,3.058333333,-513.0804247,-71.84970291
0.04166666667,0.1083333333,2.5,3.141666667,-560.7344022,-89.01639829
0.04166666667,0.125,2.5,3.225,-608.3883797,-103.2148659
0.04166666667,0.1416666667,2.5,3.308333333,-624.1549949,-113.9399088
0.04166666667,0.1583333333,2.5,3.391666667,-639.92161,-121.2751057
0.04166666667,0.175,2.5,3.475,-655.6882252,-125.4979493
0.04166666667,0.1916666667,2.5,3.558333333,-671.4548403,-126.8258197
0.04166666667,0.2083333333,2.5,3.641666667,-687.2214555,-125.2976039
0.04166666667,0.225,2.5,3.725,-680.6640191,-120.7577357
0.04166666667,0.2416666667,2.5,3.808333333,-674.1065827,-112.9360745
0.04166666667,0.2583333333,2.5,3.891666667,-667.6331108,-101.6512547
0.04166666667,0.275,2.5,3.975,-661.2436036,-87.16176457
0.04166666667,0.2916666667,2.5,4.058333333,-654.8540964,-70.59998694
0.04166666667,0.3083333333,2.5,4.141666667,-647.3275321,-54.24573396
0.04166666667,0.325,2.5,4.225,-639.8009677,-41.26523736
0.04166666667,0.3416666667,2.5,4.308333333,-609.99058,-34.72455217
0.04166666667,0.3583333333,2.5,4.391666667,-624.7478391,-36.25475207
0.04166666667,0.375,2.5,4.475,-617.2212748,-45.23248819
0.04166666667,0.3916666667,2.5,4.558333333,-572.7946199,-59.09880499
0.04166666667,0.4083333333,2.5,4.641666667,-528.3679651,-74.56751271
0.04166666667,0.425,2.5,4.725,-552.9044293,-88.86162556
0.04166666667,0.4416666667,2.5,4.808333333,-577.4408935,-100.3174921
0.04166666667,0.4583333333,2.5,4.891666667,-395.0880005,-108.3151644
0.04166666667,0.475,2.5,4.975,-374.2607486,-112.8771247
0.04166666667,0.4916666667,2.5,5.058333333,-384.2980717,-114.2610227
0.04166666667,0.5083333333,2.5,5.141666667,-389.3440611,-112.6875113
0.04166666667,0.525,2.5,5.225,-400.2609431,-108.20749
0.04166666667,0.5416666667,2.5,5.308333333,-397.4676418,-100.6749975
0.04166666667,0.5583333333,2.5,5.391666667,-395.4185372,-89.81468563
0.04166666667,0.575,2.5,5.475,-346.183903,-75.40840439
0.04166666667,0.5916666667,2.5,5.558333333,-301.5193299,-57.62924933
0.04166666667,0.6083333333,2.5,5.641666667,-295.7252086,-37.47470714
0.04166666667,0.625,2.5,5.725,-252.7873255,-17.07899395
0.04166666667,0.6416666667,2.5,5.808333333,-236.5701549,0.4649756892
0.04166666667,0.6583333333,2.5,5.891666667,-220.3529843,12.01068764
0.04166666667,0.675,2.5,5.975,-166.5916842,15.6915775
0.04166666667,0.6916666667,2.5,6.058333333,-142.7031054,11.84890344
0.04166666667,0.7083333333,2.5,6.141666667,-171.7014724,2.856138887
0.04166666667,0.725,2.5,6.225,-142.7534812,-8.023006517
0.04166666667,0.7416666667,2.5,6.308333333,-66.88548696,-17.9139873
0.04166666667,0.7583333333,2.5,6.391666667,-38.72257176,-25.02668518
0.04166666667,0.775,2.5,6.475,-12.04188595,-28.65284719
0.04166666667,0.7916666667,2.5,6.558333333,0.01887257103,-28.78482059
0.04166666667,0.8083333333,2.5,6.641666667,75.44438411,-25.69796412
0.04166666667,0.825,2.5,6.725,69.30493121,-19.66030296
0.04166666667,0.8416666667,2.5,6.808333333,59.14553104,-10.78476482
0.04166666667,0.8583333333,2.5,6.891666667,72.15450508,1.009421759
0.04166666667,0.875,2.5,6.975,85.16347911,15.94156221
0.04166666667,0.8916666667,2.5,7.058333333,109.0677733,34.19959868
0.04166666667,0.9083333333,2.5,7.141666667,132.9720674,55.62426434
0.04166666667,0.925,2.5,7.225,127.0042114,79.28081427
0.04166666667,0.9416666667,2.5,7.308333333,91.16420523,103.1145923
0.04166666667,0.9583333333,2.5,7.391666667,55.32419904,124.0512491
0.04166666667,0.975,2.5,7.475,35.6594106,138.8173115
0.04166666667,0.9916666667,2.5,7.558333333,15.99462216,145.2607435
0.05833333333,0.008333333333,3.5,2.641666667,-385.7366974,-31.1198677
0.05833333333,0.025,3.5,2.725,-373.9231233,-24.33440166
0.05833333333,0.04166666667,3.5,2.808333333,-362.1095492,-25.13213795
0.05833333333,0.05833333333,3.5,2.891666667,-350.2959751,-33.88129439
0.05833333333,0.075,3.5,2.975,-397.9499526,-48.73622267
0.05833333333,0.09166666667,3.5,3.058333333,-445.6039301,-66.55801876
0.05833333333,0.1083333333,3.5,3.141666667,-493.2579076,-84.24882894
0.05833333333,0.125,3.5,3.225,-540.911885,-99.66321499
0.05833333333,0.1416666667,3.5,3.308333333,-556.6785002,-111.7922574
0.05833333333,0.1583333333,3.5,3.391666667,-572.4451154,-120.4540092
0.05833333333,0.175,3.5,3.475,-588.2117305,-125.8603359
0.05833333333,0.1916666667,3.5,3.558333333,-603.9783457,-128.2817586
0.05833333333,0.2083333333,3.5,3.641666667,-597.4209093,-127.8598005
0.05833333333,0.225,3.5,3.725,-590.8634728,-124.5387417
