id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
7387,0.58984375,0.64453125,189.7871584,189.5118715,8,5014,4379,0,0,0,0,0,0,21.22103742,-0.2654164815,21.16618811,0.000122112991,0,0,321,150,0.04712304966,0.04712304959,22.68526868
7388,0.58203125,0.64453125,173.8312954,176.7168002,8,5014,4287,0,0,0,0,0,0,14.93404918,2.675931759,14.90686441,0.000122112991,0,0,286,137,0.06696107585,0.06696107578,25.99922796
7389,0.58203125,0.65234375,191.5821922,200.2301285,8,5014,4290,0,0,0,0,0,0,10.66573647,8.609737213,10.65186322,0.000122112991,0,0,593,280,0.09375817625,0.09375817617,29.13679838
7390,0.5859375,0.64453125,181.8092269,224.0765761,8,6737,5014,0,0,0,0,0,0,2146.536192,45.44292123,1700.738653,0.000122112991,0,0,6,2,0.0004658668249,0.0004658668229,1.352974736
7391,0.171875,0.08984375,-211.7823805,-184.049863,8,4846,7050,0,0,0,0,0,0,29.92756887,-7.853107573,29.81859547,0.000122112991,0,0,78,44,0.03341400714,0.03341400713,9.710855442
7392,0.17578125,0.0859375,-206.0885852,-188.9283061,8,7050,7042,0,0,0,0,0,0,21.05733847,0.06574080083,21.00333104,0.000122112991,0,0,115,56,0.04748938246,0.04748938244,13.79895691
7393,0.171875,0.08203125,-217.2529206,-173.069926,8,7050,4654,0,0,0,0,0,0,46.37599442,25.92532451,46.11484094,0.000122112991,0,0,61,24,0.02156287995,0.02156287993,5.160943063
7394,0.16015625,0.08984375,-237.0695766,-223.3934608,8,3753,7041,0,0,0,0,0,0,137.3842934,17.44794654,135.1175071,0.000122112991,0,0,19,9,0.007278852445,0.007278852441,2.22415561
7395,0.16796875,0.08984375,-220.2114459,-210.2133878,8,7041,4846,0,0,0,0,0,0,91.85038824,-5.751406055,90.8316095,0.000122112991,0,0,32,16,0.01088727026,0.01088727025,4.362995489
7396,0.16796875,0.08203125,-225.681986,-172.8990677,8,7041,4654,0,0,0,0,0,0,306.1359361,54.36140919,295.1040113,0.000122112991,0,0,13,5,0.00326652275,0.003266522749,1.214267955
7397,0.1484375,0.0859375,-279.2848071,-275.293168,7,3753,4655,0,0,0,0,0,0,1.478129937,3.425014775,1.477998386,6.021548133e-05,0,0,59,29,0.6765305098,0.6765305097,1.59827846
